 ,psm_yaw_joint,psm_pitch_joint,psm_main_insertion_joint,psm_tool_roll_joint,psm_tool_pitch_joint,psm_tool_yaw_joint,psm_tool_gripper2_joint
Positions
0,0.20932830316081996,0.5786966876834535,0.0938929915793483,0.035649762565126544,-0.1792889584216218,0.0386056747008113,0.03876568677977172
1,0.20020078844054476,0.5908302556559306,0.09845817642026104,0.03935158852177918,-0.1916992252558999,0.04224188548490139,0.04240189756386181
2,0.19181834184199936,0.6016579385491143,0.10303873902939492,0.04276733441188458,-0.20280239978092804,0.045547402645113144,0.04570741472407357
3,0.1840956696175146,0.6113746451314858,0.10763240910178276,0.045928100920392095,-0.2127907646228176,0.04856507624004642,0.04872508831900684
4,0.17695945730333942,0.6201391779925386,0.11223736217208055,0.04886082709979338,-0.22182135848428752,0.051330735936636326,0.05149074801559675
5,0.1703466159341057,0.6280820295598306,0.11685209463441529,0.0515888445813429,-0.23002350589128895,0.05387453130299772,0.05403454338195814
6,0.16420260596357875,0.6353113135476068,0.12147535673983523,0.05413245780605943,-0.23750458238945438,0.05622200918498822,0.056382021263948645
7,0.15848007007417958,0.6419172889494219,0.1261061015779197,0.056509414930982015,-0.24435441879681266,0.058394955954439505,0.05855496803339993
8,0.15313771308351046,0.6479758453488863,0.13074344579888045,0.05873529339900639,-0.2506486997654383,0.06041206205608085,0.06057207413504127
9,0.14813938011975153,0.6535512135864457,0.1353866390629904,0.06082381793720103,-0.2564516112062289,0.06228945103617611,0.062449463115136536
10,0.14345329447196475,0.6586980928809206,0.14003504005060718,0.06278712461800666,-0.2618179211701254,0.06404110398346001,0.06420111606242043
11,0.13905142456542555,0.6634633341317127,0.14468809745538855,0.06463598128584351,-0.2667946291252576,0.06567920285065038,0.0658392149296108
12,0.13490895580041143,0.6678872826153278,0.1493453348002391,0.06637997265233689,-0.2714222836590899,0.06721440993459363,0.06737442201355405
13,0.13100384793036288,0.6720048570257132,0.15400633821256546,0.06802765647873586,-0.2757360431492279,0.06865609690509164,0.06881610898405206
14,0.1273164625314989,0.6758464227473726,0.15867074650974236,0.06958669573521553,-0.27976653536324353,0.07001253400732993,0.07017254608629035
15,0.12382924814138485,0.6794385033352766,0.16333824310408726,0.0710639713637565,-0.28354055914826215,0.07129104656892282,0.07145105864788324
16,0.0866984693995048,0.6816209912413062,0.16296770029285654,0.08604720193204621,-0.28798017124511943,0.08618747525418484,0.08634748733314526
17,0.04931839834907327,0.6831182260160173,0.1627284284801774,0.10106351548965439,-0.2921799014145361,0.10117805224228041,0.10133806432124083
18,0.011792532357088398,0.6839169725348394,0.16262099069992855,0.11604894066626088,-0.2961251044815822,0.11623653787523835,0.11639654995419878
19,-0.025772987038126527,0.6840105735534989,0.16264563027300818,0.13093859512292796,-0.29980318642920156,0.13133591877333098,0.1314959308522914
20,-0.06327130463530696,0.6833989851797537,0.16280225794853034,0.14566812067509108,-0.303203665052404,0.1464487378680672,0.1466087499470276
21,-0.1005966749320991,0.6820887683946445,0.16309045329069383,0.16017502664113842,-0.3063183155024178,0.1615473924877705,0.1617074045667309
22,-0.13764623936388015,0.6800929060692551,0.16350947017255982,0.1743999698388239,-0.30914126558789773,0.1766044363500804,0.17676444842904082
23,-0.17432168370392961,0.6774304553936987,0.1640582462121275,0.18828791172746837,-0.3116690383512065,0.19159287722717258,0.191752889306133
24,-0.21053071108795762,0.6741260539213536,0.16473541587748222,0.2017891023844421,-0.31390054170416737,0.20648646227043332,0.20664647434939373
25,-0.2461882798033909,0.6702093041417323,0.16553932689329753,0.21485985395028626,-0.315837007140297,0.22125994360522538,0.2214199556841858
26,-0.2812175715698992,0.6657140661417087,0.16646805950454435,0.22746308135759424,-0.3174818815706532,0.23588931777918012,0.23604932985814053
27,-0.2944980257354605,0.6661460627620815,0.1704557985668654,0.23235109117116998,-0.32028130147458844,0.24118895070255184,0.24134896278151224
28,-0.3071509819869399,0.666468499610133,0.17446051392321563,0.23698133936186278,-0.32290668297982406,0.24624538003570257,0.24640539211466297
29,-0.3192159596305015,0.6666951111800019,0.1784810104768349,0.2413711845908142,-0.3253722732771017,0.2510739949520917,0.25123400703105214
30,-0.3307296362975059,0.6668378957566429,0.18251620414536796,0.24553670108922276,-0.3276909260603334,0.2556890097032872,0.2558490217822476
Velocities
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.09803906840946261,0.12771530758741756,0.052247874171718514,0.03989476489552848,-0.13086437164975961,0.03877622347928135,0.03877622347928135
2,-0.1590014131517361,0.2023819000234327,0.0912204863950733,0.06495207448696498,-0.20781461351667602,0.062379300356306636,0.062379300356306636
3,-0.19445347892392256,0.24151359143757306,0.12095838806982101,0.07976286634386344,-0.2485747181254643,0.0756479000759527,0.0756479000759527
4,-0.22084614735135946,0.26810060298765126,0.14860566809101222,0.09094183172106188,-0.27655804662587785,0.08525578245328153,0.08525578245328153
5,-0.22402442409990764,0.26643595512969126,0.16223728751278216,0.09257587930338593,-0.27541148748569166,0.0858957951539614,0.0858957951539614
6,-0.22074734981628355,0.25723111454399106,0.17250239677278278,0.09154344238284087,-0.266461715042036,0.08407642353261106,0.08407642353261106
7,-0.2177774678956963,0.2492628810895846,0.18240850468037542,0.09059218151327754,-0.25870189145568545,0.08246812290368585,0.08246812290368585
8,-0.20227801100858742,0.2275859863059141,0.18150549228096757,0.0843949344567767,-0.23664734358729145,0.07618275282451428,0.07618275282451428
9,-0.18644762634655931,0.20644499637517844,0.1788231887112729,0.07800609632645142,-0.2150490108768953,0.06986927946922031,0.06986927946922031
