 ,Position x,Position y,Position z,Orientation x,Orientation y,Orientation z,Orientation w
Start pose
 ,-0.01544211605914106,0.04663725028255687,-0.07221848101340825,-0.5464183875208399,0.12416420062624031,0.08248360411919864,0.8241399469225353
Final pose
 ,0.04455787982351703,0.10663724999423481,-0.13221847723679842,-0.5464183832174893,0.12416420014780637,0.08248360810068109,0.8241399494493238
Cartesian via points
0,-0.01544211605914106,0.04663725028255687,-0.07221848101340825,-0.5464183875208399,0.12416420062624031,0.08248360411919864,0.8241399469225353
1,-0.015442129103365806,0.049970566170403956,-0.07555179036123597,-0.546418372843442,0.12416421630015158,0.08248365797020484,0.8241399489028237
2,-0.01544212657349464,0.053303903828678785,-0.07888512919111956,-0.5464183764443735,0.12416421192595707,0.0824836447806986,0.8241399484944245
3,-0.015442124588363228,0.05663724027962903,-0.08221846658637146,-0.5464183790540562,0.12416420890887375,0.08248363517668739,0.8241399481799258
4,-0.015442123022480384,0.0599705758938046,-0.08555180296215059,-0.5464183809758871,0.12416420678594679,0.08248362809126855,0.824139947934699
5,-0.01544212177997932,0.06330391091894144,-0.08888513860316262,-0.5464183824057702,0.12416420527096737,0.08248362281273816,0.8241399477432074
6,-0.01544212078802477,0.06663724552323706,-0.09221847370730497,-0.5464183834871192,0.1241642041694651,0.08248361882438304,0.824139947591379
7,-0.015442119991201807,0.0699705798226936,-0.09555180841415628,-0.5464183843114538,0.12416420335963957,0.08248361578655265,0.8241399474708788
8,-0.0154421193472127,0.07330391389849435,-0.0988851428235135,-0.5464183849446105,0.12416420275806546,0.08248361345504865,0.8241399473750655
9,-0.015442118823631102,0.07663724780823679,-0.10221847700764329,-0.5464183854372309,0.1241642023046049,0.08248361164497509,0.8241399472979283
10,-0.015442118395473211,0.07997058159330933,-0.1055518110195023,-0.5464183858230787,0.12416420195972197,0.08248361023005894,0.8241399472356759
11,-0.015442118043384884,0.08330391528380963,-0.1088851448983304,-0.5464183861234855,0.1241642016980344,0.08248360912703834,0.8241399471863219
12,-0.015442117752288723,0.08663724890187105,-0.11221847867350776,-0.5464183863632596,0.12416420149453562,0.08248360824960507,0.8241399471458242
13,-0.015442117510372232,0.08997058246394088,-0.11555181236724735,-0.5464183865598198,0.12416420133213438,0.0824836075362439,0.8241399471113651
14,-0.015442117308328304,0.09330391598236246,-0.11888514599649774,-0.5464183867125014,0.1241642012083183,0.08248360697855009,0.8241399470846051
15,-0.015442117138782609,0.09663724946648432,-0.12221847957430282,-0.5464183868381437,0.12416420110872095,0.08248360652249623,0.8241399470619515
16,-0.010896649855899436,0.09663722713366572,-0.1222184864751515,-0.5464183855903602,0.12416420868789034,0.08248359201318395,0.8241399481995381
17,-0.006351199105990262,0.09663722640789366,-0.12221848688733031,-0.5464183863865565,0.12416420687926466,0.08248359818022076,0.8241399473269083
18,-0.001805748595217233,0.0966372259705561,-0.12221848723800749,-0.5464183869906012,0.12416420498848041,0.08248360483145603,0.8241399465455953
19,0.0027397017850784317,0.09663722584236849,-0.12221848752330301,-0.5464183873775963,0.1241642030532153,0.08248361171670762,0.8241399458914698
20,0.007285152151789786,0.09663722603134182,-0.12221848773930688,-0.5464183875266627,0.12416420111010683,0.08248361856321744,0.824139945400154
21,0.011830602622639318,0.09663722653254074,-0.12221848788210099,-0.546418387428727,0.124164199195511,0.0824836250987363,0.8241399450994342
22,0.01637605330881794,0.09663722732846997,-0.12221848794816204,-0.5464183870864331,0.12416419734412427,0.08248363107212034,0.8241399450074659
23,0.020921504308338612,0.09663722839040563,-0.12221848793494636,-0.5464183865126238,0.12416419558777685,0.08248363627110518,0.8241399451321829
24,0.0254669557007821,0.09663722968051124,-0.12221848784154443,-0.5464183857341708,0.12416419395394185,0.08248364053613355,0.8241399454675989
25,0.030012407543891586,0.0966372311544939,-0.12221848766927723,-0.5464183847877007,0.12416419246531361,0.08248364376800464,0.8241399459959394
26,0.03455785987219958,0.09663723276451157,-0.12221848742210964,-0.5464183837162631,0.12416419113944226,0.08248364592918105,0.8241399466897745
27,0.03705785988541062,0.09913723658408459,-0.1247184806068872,-0.5464183784273647,0.12416419273358383,0.08248364217343497,0.8241399503321215
28,0.039557866622901484,0.10163724107507432,-0.12721847954344948,-0.546418380115342,0.12416419522211251,0.08248363064332599,0.8241399499920303
29,0.042057873264365865,0.10413724554356818,-0.12971847841747014,-0.5464183817089612,0.12416419769269263,0.08248361929612931,0.8241399496988976
30,0.04455787982351703,0.10663724999423481,-0.13221847723679842,-0.5464183832174893,0.12416420014780637,0.08248360810068109,0.8241399494493238
Time stamps via points
0,95272922
1,97158844
2,99440929
3,101181837
4,102692224
5,104466163
6,106522448
7,108113814
8,109768977
9,111412202
10,112875908
11,114414614
12,115902140
13,117288147
14,118710608
15,120072061
16,121576062
17,122941996
18,124418398
19,125793181
20,127168567
21,128834900
22,130982731
23,133003888
24,134645737
25,136046988
26,137742370
27,140378117
28,141949084
29,143346280
30,144689693
0,0
1,159406315
2,219785086
3,262879739
4,296903248
5,325408091
6,353840534
7,379225211
8,404646194
9,430353890
10,456870375
11,484789055
12,515024880
13,550323077
14,590735285
15,746373858
16,937053569
17,1048157616
18,1135536611
19,1210609463
20,1277295722
21,1338612662
22,1405592115
23,1479830812
24,1565942592
25,1669020440
26,1830089979
27,1928817016
28,1988269819
29,2054275927
30,2206032707
X coordinates of via points
0,-0.01544211605914106
1,-0.015442129103365806
2,-0.01544212657349464
3,-0.015442124588363228
4,-0.015442123022480384
5,-0.01544212177997932
6,-0.01544212078802477
7,-0.015442119991201807
8,-0.0154421193472127
9,-0.015442118823631102
10,-0.015442118395473211
11,-0.015442118043384884
12,-0.015442117752288723
13,-0.015442117510372232
14,-0.015442117308328304
15,-0.015442117138782609
16,-0.010896649855899436
17,-0.006351199105990262
18,-0.001805748595217233
19,0.0027397017850784317
20,0.007285152151789786
21,0.011830602622639318
22,0.01637605330881794
23,0.020921504308338612
24,0.0254669557007821
25,0.030012407543891586
26,0.03455785987219958
27,0.03705785988541062
28,0.039557866622901484
29,0.042057873264365865
30,0.04455787982351703
Y coordinates of via points
0,0.04663725028255687
1,0.049970566170403956
2,0.053303903828678785
3,0.05663724027962903
4,0.0599705758938046
5,0.06330391091894144
6,0.06663724552323706
7,0.0699705798226936
8,0.07330391389849435
9,0.07663724780823679
10,0.07997058159330933
11,0.08330391528380963
12,0.08663724890187105
13,0.08997058246394088
14,0.09330391598236246
15,0.09663724946648432
16,0.09663722713366572
17,0.09663722640789366
18,0.0966372259705561
19,0.09663722584236849
20,0.09663722603134182
21,0.09663722653254074
22,0.09663722732846997
23,0.09663722839040563
24,0.09663722968051124
25,0.0966372311544939
26,0.09663723276451157
27,0.09913723658408459
