 ,psm_yaw_joint,psm_pitch_joint,psm_main_insertion_joint,psm_tool_roll_joint,psm_tool_pitch_joint,psm_tool_yaw_joint,psm_tool_gripper2_joint
Positions
0,0.21058167012949996,0.579198755350423,0.09394310687815689,0.03437371187415509,-0.18100629226686138,0.03849544116375464,0.03863790021748707
1,0.20140504189344302,0.5913021643865919,0.09850806225484664,0.038083349832442416,-0.1933787103116392,0.04216096591807295,0.042303424971805385
2,0.19297694432706544,0.6021032903302656,0.10308840312457589,0.041506526403455764,-0.20444855824663227,0.04549342023039163,0.04563587928412406
3,0.18521176056428404,0.611796426405024,0.10768186029177056,0.044674355028981656,-0.21440736311932607,0.048535921584352285,0.04867838063808472
4,0.17803588638438278,0.6205398906025059,0.11228660974960354,0.047613790120382284,-0.22341156434314846,0.05132453051336653,0.05146698956709896
5,0.17138597391823945,0.6284637897215816,0.11690114798974938,0.050348180184186755,-0.23159000617534933,0.053889596237468244,0.05403205529120068
6,0.16520725233656186,0.6356759271276748,0.1215242251309237,0.05289784722717856,-0.23904967525369863,0.05625683882429456,0.05639929787802699
7,0.15945215762454146,0.6422663094281775,0.12615479398749618,0.05528055705052156,-0.24588008438628106,0.05844819552498574,0.05859065457871817
8,0.1540792097082513,0.6483106189663237,0.13079197084961494,0.05751190442677299,-0.2521566558522132,0.060482488680815634,0.06062494773454806
9,0.1490520881245265,0.6538729148856369,0.13543500497133149,0.059605630860458204,-0.25794335731037515,0.06237595752350276,0.06251841657723518
10,0.14433886763969236,0.6590077529689391,0.14008325460615365,0.06157388843194127,-0.2632947738108757,0.06414268505563127,0.06428514410936369
11,0.13991138324540003,0.6637618633704128,0.1447361680173245,0.06342746022705352,-0.26825775036106875,0.0657949431762181,0.06593740222995052
12,0.13574470025664875,0.6681754889927548,0.14939326830456925,0.06517594534089985,-0.27287270427613836,0.06734347389222727,0.06748593294595968
13,0.13181667015965817,0.6722834611539407,0.15405414118614524,0.06682791502551752,-0.27717468165756226,0.068797719773923,0.06894017882765542
14,0.1281075567362818,0.6761160702055801,0.15871842508855902,0.06839104493787233,-0.28119421375422876,0.07016601421019154,0.07030847326392396
15,0.12459972002779528,0.6796997748925376,0.16338580305352315,0.06987222781617973,-0.2849580159040374,0.07145573908943878,0.0715981981431712
16,0.08747632387057465,0.6818949908913868,0.16301262568657218,0.08481708601471907,-0.28937477066214445,0.08635438427811186,0.08649684333184428
17,0.05010160294080329,0.683405140673193,0.16277066639620483,0.09979687997461242,-0.29355049760785007,0.1013476723394181,0.10149013139315051
18,0.012578976960680601,0.6842168697891604,0.16266049457502713,0.11474778702658515,-0.2974705816091832,0.1164093569657901,0.11655181601952251
19,-0.024985455029360053,0.6843233956395257,0.1626823603257555,0.12960504300565245,-0.30112246591915787,0.13151241260723576,0.13165487166096815
20,-0.06248484410714316,0.6837245465390056,0.16283618150993814,0.1443043751851576,-0.30449571280501414,0.14662936465472545,0.14677182370845784
21,-0.09981341471959375,0.6824267567019485,0.16312154504463675,0.15878334454472917,-0.30758214883729795,0.16173258779805405,0.16187504685178644
22,-0.13686824333665118,0.6804428866921536,0.16353771230138456,0.1729826260843454,-0.3103759598567208,0.17679460843067446,0.17693706748440685
23,-0.17355091867685074,0.6777918790662669,0.16408362844536023,0.18684716762541687,-0.3128737330349757,0.19178840285373366,0.19193086190746605
24,-0.20976901874890716,0.6744982672577666,0.16475793544469713,0.20032717657899551,-0.31507444593419076,0.20668768324295864,0.20683014229669103
25,-0.24543735355245616,0.670591562479612,0.16555898838466784,0.21337889709144459,-0.31697940448850465,0.22146716396181523,0.22160962301554762
26,-0.2804789388245996,0.6661055481222946,0.16648487464529405,0.22596515505926437,-0.3185921340533481,0.23610280177688006,0.23624526083061245
27,-0.29377900469673063,0.6665317201810327,0.17047166219820822,0.23085128763609,-0.32137355808490964,0.24141353289683526,0.24155599195056765
28,-0.30645078684647553,0.666848396016849,0.1744754684433778,0.23547984220007442,-0.3239816581339647,0.2464806126160629,0.2466230716697953
29,-0.3185338329593985,0.6670693190069301,0.17849509576731784,0.23986815123629512,-0.3264306427342656,0.2513194500218792,0.2514619090756116
30,-0.330064850120386,0.6672064947646522,0.18252945775022897,0.2440322669707179,-0.32873332943976397,0.2559442789119967,0.2560867379657291
Velocities
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.09911113383268942,0.12808686722362445,0.05254617490136546,0.04020043540198803,-0.13117338621741256,0.039304088997394376,0.039304088997394376
2,-0.1623880498931239,0.20505185417510283,0.09267049965952423,0.0661204618641839,-0.21044345740678694,0.06387847679413024,0.06387847679413024
3,-0.19946862259102302,0.2457843736314933,0.12338965167002457,0.0815539255381959,-0.2528370617222286,0.07780976096450123,0.07780976096450123
4,-0.22420824876459156,0.27005267438141733,0.1499657652437299,0.09202432951701303,-0.2784258902930429,0.0867934444346474,0.0867934444346474
5,-0.22529274139066063,0.2658111661010558,0.16223614359902974,0.09279728525020017,-0.27462870771704856,0.08661938958936444,0.08661938958936444
6,-0.22200612316101215,0.25663070950656164,0.17250125285903034,0.09176614420513954,-0.26571116201667044,0.08478928810440894,0.08478928810440894
7,-0.2190284899019651,0.2486847944339267,0.1824085046803754,0.09081640927753118,-0.25798053287723083,0.0831718213329805,0.08317182133298036
8,-0.2034467017954341,0.22705955482501788,0.18150549228096752,0.08460663978883123,-0.2359921040107507,0.07683620530613772,0.07683620530613758
9,-0.18753052663557812,0.2059683494318979,0.1788231887112728,0.07820416181987122,-0.2144573092964229,0.07047143303040751,0.07047143303040738
